,ItemName,ManufactureName,UnitQty,Quantity,QtyInPackage,ItemPrice,UnitOfMeasurePrice
0,משלוח,ב משלוחים/תווים,"י""ח",,1,19.90,19.90
1,"עמלת החזרת צ ק 14ש""ח",ב משלוחים/תווים,"י""ח",,1,14,14
2,משלוח מוסדות,ב משלוחים/תווים,"י""ח",,1,23,23
3,תוספת למשלוח בקלקר,שונות /שרות,"י""ח",,1,10,10
4,משלוח פנסיונר,ב משלוחים/תווים,"י""ח",,1,25.90,25.90
5,כרטיס מועדון,שונות /שרות,"י""ח",,1,30,30
6,שתיה קרה בקבוק חצי ליטר 500,חברה המרכזית להפצת משקאות בעמ,"י""ח",,1,6,6
7,32,שונות /שרות,"י""ח",,1,84,84
8,ב  39 תו קניה,ב משלוחים/תווים,"י""ח",,1,10,10
9,ביצים 12 יח-מס     3,תנובה ביצים,"י""ח",,1,9.65,9.65
10,עוף טחון טרי  {קצביה]**,ח.י. מעדני גורמה בעמ,"ק""ג",,1,39.90,39.90
11,חסה עגולה,ביכורי הנגב מ.ד בעמ,"י""ח",,1,6.90,6.90
12,גינגר תפזורת,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,39.90,39.90
13,לחמניה נקניק שפע נעמן,לפ מאפיית שפע נעמן,"י""ח",,1,1.70,2.13
14,מארז לחמניות סוגים שונים,שלמה א.אנג ל בעמ,"י""ח",,1,9.90,8.61
15,גבטה,בר מאפים,"י""ח",,1,3.90,3.90
16,סלרי,ביכורי הנגב מ.ד בעמ,"י""ח",,1,5.90,5.90
17,מארז לחמניות 10יח,בר מאפים,"י""ח",,1,10,10
18,פסטיגל,שונות /שרות,"י""ח",,1,40,40
19,פטריות תפזורת שקיל,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,39.90,39.90
20,לימון סיני,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,11.90,11.90
21,אבוקדו.,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,14.90,14.90
22,אבטיח,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
23,אפרסק מובחר,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,19.90,19.90
24,אגסים,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,11.90,11.90
25,אשכולית אדומה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
26,אשכולית,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,6.90,6.90
27,חזרת,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,39.90,39.90
28,בננה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,9.90,9.90
29,חבושים,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,17.90,17.90
30,גויאבה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,16.90,16.90
31,לימון,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,9.90,9.90
32,פמלה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,7.90,7.90
33,מלון,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,4.90,4.90
34,שורש פטרוזילה,ביכורי הנגב מ.ד בעמ,"י""ח",,1,5.90,5.90
35,נקטרינה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,29.90,29.90
36,פמלית,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,6.90,6.90
37,קלמנטינה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
38,עגבניות שרי מנומר שקיל,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,19.90,19.90
39,קיווי,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,19.90,19.90
40,שסק שקיל.,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,26.90,26.90
41,גזר בתפזורת,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,3.90,3.90
42,שזיף שגיב,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,14.90,14.90
43,תפוז תבורי.,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
44,תמר דקל נור,לפ י.ששון יבוא ושווק בעמ,"ק""ג",,1,17.90,17.90
45,תפוח יונתן,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,9.90,9.90
46,תפוח סמיט ירוק,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,10.90,10.90
47,תפוח חרמון,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,10.90,10.90
48,תפוז ברשת,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
