,ChainName,StoreId,BikoretNo,StoreType,StoreName,Address,City
0,קשת טעמים,2,5,1,נהריה,לוחמי הגטאות 9,נהריה
1,קשת טעמים,3,4,1,נשר,הזית 1,נשר
2,קשת טעמים,4,3,1,הדר,שבתאי לוי 21,חיפה
3,קשת טעמים,5,2,1,קרית אליעזר,תל אביב 11,חיפה
4,קשת טעמים,8,9,1,נוף הגליל,עמל 1,נוף הגליל
5,קשת טעמים,9,8,1,אשדוד,קניון עד הלום,אשדוד
6,קשת טעמים,10,8,1,גבעת רם,בציר 46,כרמיאל
7,קשת טעמים,11,7,1,יוקנעם,הירדן 64,יוקנעם
8,קשת טעמים,12,6,1,חדרה,דוד אלעזר 27,חדרה
9,קשת טעמים,13,5,1,ראשון לציון,ברשבסקי 33,ראשון לציון
10,קשת טעמים,14,4,1,פולג,המלאכה 28,נתניה
11,קשת טעמים,15,3,1,כרמיאל,היוצרים 4,כרמיאל
12,קשת טעמים,16,2,1,קרית חיים,איצטדיון 5/1,קרית חיים
13,קשת טעמים,17,1,1,בילו,מרכז קניות גבעת ברנר,רחובות
14,קשת טעמים,18,0,1,באר שבע,ישפרו פלאנט,באר שבע
15,קשת טעמים,19,9,1,כפר סבא,"מרכז מסחרי ""שרונה"", דרך השרון 12",כפר סבא
16,קשת טעמים,20,5,1,פתח תקווה,הרב פינטו מסעוד אשר 20,פתח תקווה
17,קשת טעמים,509,3,1,אשדוד אינטרנט,https://www.keshet-teamim.co.il/,unknown
18,קשת טעמים,513,6,1,ראשון לציון אינטנרנט,https://www.keshet-teamim.co.il/,unknown
19,קשת טעמים,514,5,1,פולג אינטרנט,https://www.keshet-teamim.co.il/,unknown
20,קשת טעמים,516,3,1,קרית חיים אינטרנט,https://www.keshet-teamim.co.il/,unknown
21,קשת טעמים,518,1,1,באר שבע אינטרנט,https://www.keshet-teamim.co.il/,unknown
22,קשת טעמים,520,6,1,פתח תקווה אינטרנט,https://www.keshet-teamim.co.il/,unknown
