,ChainName,StoreId,BikoretNo,StoreType,StoreName,Address,City
0,רמי לוי שיווק השקמה,1,6,1,תלפיות,"האומן,15",ירושלים
1,רמי לוי שיווק השקמה,2,5,1,בזק מחסני מזון,יד חרוצים 18,ירושלים
2,רמי לוי שיווק השקמה,3,4,1,רמי לוי בשכונה,90 דרך החורש,ירושלים
3,רמי לוי שיווק השקמה,5,2,1,רב מכר,הפרסה 3,ירושלים
4,רמי לוי שיווק השקמה,6,1,1,מישור אדומים,איתם 1,מישור אדומים
5,רמי לוי שיווק השקמה,7,0,1,מבשרת,החוצבים 10,מבשרת ציון
6,רמי לוי שיווק השקמה,8,9,1,שער בנימין,מרכז מסחרי מטה בנמין,ירושלים
7,רמי לוי שיווק השקמה,9,8,1,קסיטנה,א.ת באר טוביה,קרית מלאכי
8,רמי לוי שיווק השקמה,10,4,1,מודיעין חדש,א.ת שילת,מודעין
9,רמי לוי שיווק השקמה,11,3,1,עפולה,יהושוע  חנקין 14,עפולה
10,רמי לוי שיווק השקמה,12,2,1,ביתר עלית,ביתר עלית,ירושלים
11,רמי לוי שיווק השקמה,13,1,1,גבעת שאול,בית הדפוס 13,ירושלים
12,רמי לוי שיווק השקמה,14,0,1,טבריה,צומת פוריה ביג,טבריה
13,רמי לוי שיווק השקמה,15,9,1,נשר,דרך השלום 13,חיפה
14,רמי לוי שיווק השקמה,16,8,1,רמת גן  איילון,מבצע קדש 68,בני ברק
15,רמי לוי שיווק השקמה,17,7,1,ראש העין,א.ת לב הארץ,ראש העין
16,רמי לוי שיווק השקמה,19,5,1,אדמרליטי,חלוצי התעשיה 73,חיפה
17,רמי לוי שיווק השקמה,20,1,1,זכרון יעקב,מול זכרון,זכרון יעקב
18,רמי לוי שיווק השקמה,22,9,1,כנפי נשרים,כנפי נשרים 26,ירושלים
19,רמי לוי שיווק השקמה,23,8,1,גוש עציון,צומת גוש עציון,גוש עציון
20,רמי לוי שיווק השקמה,24,7,1,נתניה,המחקר 3,נתניה
21,רמי לוי שיווק השקמה,25,6,1,מודעין ישפרו,מתחם ישפרו,מודעין
22,רמי לוי שיווק השקמה,26,5,1,אשדוד,היהלומים 8,אשדוד
23,רמי לוי שיווק השקמה,27,4,1,באר שבע,הע.ל עמק שרה,באר שבע
24,רמי לוי שיווק השקמה,28,3,1,עכו,בוליטמור 2,עכו
25,רמי לוי שיווק השקמה,29,2,1,פרדס חנה ביג,תדהר 1,פרדס חנה
26,רמי לוי שיווק השקמה,30,8,1,קדימה,הזרם 2,קדימה
27,רמי לוי שיווק השקמה,31,7,1,נתיבות,צומת בית הגדי,נתיבות
28,רמי לוי שיווק השקמה,32,6,1,נהריה,היוצרים א.ת צפוני,נהריה
29,רמי לוי שיווק השקמה,33,5,1,כפר סבא,גלגלי פלדה 2,כפר סבא
30,רמי לוי שיווק השקמה,34,4,1,פתח תקווה,הסיבים 37,פתח תקווה
31,רמי לוי שיווק השקמה,35,3,1,אשקלון,המתכנן 8,"אשקלון 
"
32,רמי לוי שיווק השקמה,36,2,1,כרמיאל,היוצרים 7,כרמיאל
33,רמי לוי שיווק השקמה,37,1,1,נתניה חדש,האורזים 8,נתניה
34,רמי לוי שיווק השקמה,38,0,1,קרית שמונה,איזור תעשיה צפוני קרית שמונה,קרית שמונה
35,רמי לוי שיווק השקמה,39,9,1,מרלוג אינטרנט,מבצע קדש,בני ברק
36,רמי לוי שיווק השקמה,40,5,1,יבנה,הקישון 9 קניון G,יבנה
37,רמי לוי שיווק השקמה,41,4,1,רחובות,מוטי קינד 1,"רחובות 
"
38,רמי לוי שיווק השקמה,42,3,1,לוד,שד הציונות 1,לוד
39,רמי לוי שיווק השקמה,43,2,1,ראשון לציון,שד משה דיין,ראשון לציון
40,רמי לוי שיווק השקמה,44,1,1,חדרה,השלום 1,חדרה
41,רמי לוי שיווק השקמה,45,0,1,בת ים,העמל 20,בת ים
42,רמי לוי שיווק השקמה,46,9,1,רעננה,"החרושת 12
","רעננה
"
43,רמי לוי שיווק השקמה,47,8,1,באר שבע ביג,דרך חברון 21,באר שבע
44,רמי לוי שיווק השקמה,48,7,1,עטרות,קניון עטרות,ירושלים
45,רמי לוי שיווק השקמה,49,6,1,בית שמש,יגאל אלון 4,"בית שמש
"
46,רמי לוי שיווק השקמה,50,2,1,חולון,תמנע 6,חולון
47,רמי לוי שיווק השקמה,53,9,1,אריאל,הבנאי 6,אריאל
48,רמי לוי שיווק השקמה,55,7,1,רמת החייל,"דבורה הנביאה 127
","תל אביב יפו
"
49,רמי לוי שיווק השקמה,56,6,1,אשקלון צפון,צהל 99,אשקלון
50,רמי לוי שיווק השקמה,57,5,1,עזריאלי חיפה,"משה פלימן 4
","חיפה
"
51,רמי לוי שיווק השקמה,59,3,1,רמלה,שדרות הרצל 91,רמלה
52,רמי לוי שיווק השקמה,203,2,1,אילת,הזגג 11,אילת
