,ItemName,ManufactureName,UnitQty,Quantity,QtyInPackage,ItemPrice,UnitOfMeasurePrice
0,דג פילה סלמון טרי,ח.י. מעדני גורמה בעמ,"ק""ג",,1,99.90,99.90
1,תות שדה מגש,ביכורי הנגב מ.ד בעמ,"י""ח",,1,14.90,14.90
2,ענבים,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,39.90,39.90
3,קוד מרכז שמפו 10 700,לפ דנאגיס בעמ @@@,"י""ח",,1,11.90,11.90
4,קוד מרכז סבוני הוואי X 4,הנקל סוד בעמ,"י""ח",,1,14,14
5,קוד מרכז סירופ 1 ליטר,זנלכל בעמ,"י""ח",,1,7.50,7.50
6,סטוק }84 ברנדי{ כש,טמפו משקאות בעמ,"י""ח",,1,70.20,9.32
7,ליקר גלה קפה סטוק,טמפו משקאות בעמ,"י""ח",,1,50.20,6.65
8,אמרטו ליקר,טמפו משקאות בעמ,"י""ח",,1,50.20,6.65
9,ליקר וישיניאק שטוק,טמפו משקאות בעמ,"י""ח",,1,50.20,6.65
10,ליקר שוקולד קוקטייל,טמפו משקאות בעמ,"י""ח",,1,50.20,6.65
11,ליקר סטוק שרי,טמפו משקאות בעמ,"י""ח",,1,50.20,6.65
12,ליקר בננה סטוק,טמפו משקאות בעמ,"י""ח",,1,50.20,6.65
13,ליקר טריפל-סק,טמפו משקאות בעמ,"י""ח",,1,50.20,6.65
14,קלאסיק ארגמן,טמפו משקאות בעמ,"י""ח",,1,29.90,3.95
15,יין קלאסיק ברקן אמרלד ריזלינג,טמפו משקאות בעמ,"י""ח",,1,29.90,3.95
16,קלאסיק סוביניון בלאן,טמפו משקאות בעמ,"י""ח",,1,29.90,3.95
17,קלאסיק  קברנה בלאש.,טמפו משקאות בעמ,"י""ח",,1,29.90,3.95
18,קלאסיק ברקן שרדונה,טמפו משקאות בעמ,"י""ח",,1,29.90,3.95
19,קלאסיק ברקן פטיט סירה,טמפו משקאות בעמ,"י""ח",,1,29.90,3.95
20,קלאסיק ברקן שיראז קלאסיק,טמפו משקאות בעמ,"י""ח",,1,29.90,3.95
21,יין קלאסיק מרלו ברקן.,טמפו משקאות בעמ,"י""ח",,1,29.90,3.95
22,קלאסיק ברקן מרלו/פינוטאג,טמפו משקאות בעמ,"י""ח",,1,29.90,3.95
23,רזרב  קברנה סובניון ברקן,טמפו משקאות בעמ,"י""ח",,1,47.90,6.35
24,רזרב אמרלד ריזלינג 750ברקן,טמפו משקאות בעמ,"י""ח",,1,47.90,6.35
25,רזרב ברקן שרדונה,טמפו משקאות בעמ,"י""ח",,1,47.90,6.35
26,רזרב מרלו ברקן,טמפו משקאות בעמ,"י""ח",,1,47.90,6.35
27,"יין לבן עלמון אסמבלאז 750מ""ל",טמפו משקאות בעמ,"י""ח",,1,59.90,7.95
28,"יין אדום מתוק לקידוש של סגל 750מ""ל",טמפו משקאות בעמ,"י""ח",,1,14.90,1.95
29,יין   אסמבלאז`ריחן 2012,טמפו משקאות בעמ,"י""ח",,1,59.90,7.95
30,יין   אסמבלאז`איתן 2012,טמפו משקאות בעמ,"י""ח",,1,59.90,7.95
31,יין   אסמבלאז`צפית 2012,טמפו משקאות בעמ,"י""ח",,1,59.90,7.95
32,וודקה קגלביץ אסאי700,טמפו משקאות בעמ,"י""ח",,1,49.90,7.09
33,"וודקה קגלוויץ לימון 700 כשל""פ",טמפו משקאות בעמ,"י""ח",,1,49.90,7.09
34,וודקה קגלביץ מלון   700,טמפו משקאות בעמ,"י""ח",,1,49.90,7.09
35,וודקה קגלביץ אספרסו 700,טמפו משקאות בעמ,"י""ח",,1,49.90,7.09
36,בשר טחון טרי מנתח מובחר,ח.י. מעדני גורמה בעמ,"ק""ג",,1,59.90,59.90
37,כנען 500 ג,תנובה בעמ ***,"י""ח",,1,19.90,3.98
38,גבינה לבנה 5% תנובה  250  גרם*,תנובה בעמ ***,"י""ח",,1,4.75,1.90
39,גבינה לבנה 9% רכה 250 גרם,תנובה בעמ ***,"י""ח",,1,4.70,1.88
40,גבינה% 5  תנובה 250גרם*,תנובה בעמ ***,"י""ח",,1,4.75,1.90
41,גבינה 9%  250 גרם,תנובה בעמ ***,"י""ח",,1,4.70,1.88
42,חמד,תנובה בעמ ***,"י""ח",,1,17.90,7.16
43,גבינה צפתית צ פיראוס 200  ג%`5,תנובה בעמ ***,"י""ח",,1,13.90,6.95
44,"פיראוס חמד 1 ק""ג 16%",תנובה בעמ ***,"י""ח",,1,49.90,49.90
45,חרמון 250,תנובה בעמ ***,"י""ח",,1,17.10,6.84
46,פיראוס בולגרית עזים 250גר`,תנובה בעמ ***,"י""ח",,1,26.90,10.76
47,פיראוס צפתית עיזים 5% 200גר`,תנובה בעמ ***,"י""ח",,1,17.90,8.95
48,פיראוס לאבנה עם שמן זית וזעתר 263גר`,תנובה בעמ ***,"י""ח",,1,12.90,4.90
49,פיראוס לאבנה 5% 500גר`,תנובה בעמ ***,"י""ח",,1,18.90,3.78
50,פיראוס לאבנה עם שמן זית 250גרם,תנובה בעמ ***,"י""ח",,1,13.10,5.24
51,"פיראוס יוגורט עזים  500מ""ל",תנובה בעמ ***,"י""ח",,1,11.90,2.38
52,"פיראוס יוגורט עזים טבעי 500מ""ל",תנובה בעמ ***,"י""ח",,1,11.90,2.38
53,פיראוס פטה כבשים 5% 250גרם,תנובה בעמ ***,"י""ח",,1,26.90,10.76
54,מארז 2 פיראוס חרמון 16%  250*2,תנובה בעמ ***,"י""ח",,1,34.20,6.84
55,גבינה ערבית מסורתית  16% שומן,תנובה בעמ ***,"י""ח",,1,19.90,4.98
56,פיראוס גבינת עזים למריחה 5% 240גרם,תנובה בעמ ***,"י""ח",,1,13.90,5.79
57,קוקילידה וניל,נגה גלידות,"י""ח",,1,9,9
58,גבינה צפתית דליקטס פיראוס 9% 200גר,תנובה בעמ ***,"י""ח",,1,14.30,7.15
59,חטיפי פריכונים מאורז מלא,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,7.60,7.60
60,אטריות ביצים דקות 200 גרם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,3.45
61,אטריות דקות 400 גרם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.73
62,פרפקטו ספגטי,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
63,פרפקטו ספגטיני,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
64,לה פסטה פתיתים,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
65,טבעות פתיתים 500 גרם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
66,לזניה לה 500 ג`  פרפקטו אוסם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,14.90,2.98
67,פרפקטו קורנטי,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
68,פתיתים אפויים כוכבים 500,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
69,אקסטרים מטבע ענק 120גר,נגה גלידות,"י""ח",,1,10,8.33
70,פתיתים אפויים אורז,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
71,איטריות מובחרות,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.73
72,איטריות מובחרות,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.73
73,איטריות דקיקות אסם 400 גרם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.73
74,קרם קרקר טעם בצל,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,10,4
75,רוטב צ ילי מתוק אוסם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,10.90,3.76
76,רוטב טריאקי,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,10.90,3.76
77,פתיתים קוסקום עם בצל 500גר`,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
78,פתיתים קוסקוס 3 צבעים 500גר`,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
79,קפה רד מאג 50 גרם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,13.80
80,דובונים שמנת בצל 40גר,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,9.75
81,קרקר קלאסי שומשום קלאסי 165גר`,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,8,4.85
82,"רוטב אלף האיים צ`ילי 290מ""ל",קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,10.90,3.76
83,"רוטב לסלט קיסר 290מ""ל",קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,10.90,3.76
84,"ביסלי 70 גר`כל""פ.",קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,5.57
85,חטיפי פריכונים תירס שומשום 80 ג`,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,7.60,0.95
86,ביסלי  פלאפל}קטן{,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,5.57
87,ביסלי  בצל}קטן{,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,5.57
88,ביסלי  ברביקיו}קטן{,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,5.57
89,ביסלי בצל  פיצה(קטן{,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,5.57
90,במבה אסם{,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,4.40,5.50
91,פופקו חמאה ודבש,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,5,6.25
92,ביסלי מקסיקני 70 ג`,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,0.56
93,קרם קרקר משופר 250  גר% `+33תוספת,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,8,3.20
94,"ביסלי 70 גר`כל""פ",קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,5.57
95,"ביסלי 70 גר`כשל""פ",קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,5.57
96,"ביסלי 70 גר`כל""פ..",קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,3.90,5.57
97,"פודינג וניל 80 גר`כל""פ",קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,5,6.25
98,"פודינג שוקולד 95 גר`כל""פ",קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,5.50,5.79
99,פודינג  וניל 80 ג אסם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,5,6.25
100,פודינג שוקולד,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,5.70,6
101,ג לי תות אסם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.50,7.65
102,ג לי מישמש,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.50,7.65
103,ג לי פטל,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.50,7.65
104,ג לי אננס,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.50,7.65
105,במבה יום הולדת 80 גרם,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,4.80,6
106,פרפקטו פנה ריגאט,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,6.90,1.38
107,חטיפי קרקר זעתר 300גר`,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,11.90,3.97
108,חטיפי קרקר מלוח 300גר`,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,11.90,3.97
109,חטיפי קרקר שומשום 300גר`,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,11.90,3.97
110,במבה חלבה 60גר`,קבוצת אוסם סחר-שות.מוגבלת,"י""ח",,1,4.80,8
