,ItemName,ManufactureName,UnitQty,Quantity,QtyInPackage,ItemPrice,UnitOfMeasurePrice
0,משלוח,ב משלוחים/תווים,"י""ח",,1,19.90,19.90
1,כרטיס מועדון,שונות /שרות,"י""ח",,1,30,30
2,"עמלת החזרת צ ק 42 ש""ח",שונות /שרות,"י""ח",,1,42,42
3,"עמלת החזרת צ ק 98 ש""ח",שונות /שרות,"י""ח",,1,98,98
4,ב  39 תו קניה,ב משלוחים/תווים,"י""ח",,1,10,10
5,עוף טחון טרי  {קצביה]**,ח.י. מעדני גורמה בעמ,"ק""ג",,1,39.90,39.90
6,דג בורי L טרי,ח.י. מעדני גורמה בעמ,"ק""ג",,1,44.90,44.90
7,דג דניס S טרי,ח.י. מעדני גורמה בעמ,"ק""ג",,1,59.90,59.90
8,דג קרפיון מצונן טרי,ח.י. מעדני גורמה בעמ,"ק""ג",,1,29.90,29.90
9,הנחת מזומן,ח.י. מעדני גורמה בעמ,"י""ח",,1,7.90,7.90
10,דג אמנון L טרי,ח.י. מעדני גורמה בעמ,"ק""ג",,1,33.90,33.90
11,מדבקות למקודד ציבעוני,שונות /שרות,"י""ח",,1,0.10,0.10
12,דג פילה דניס טרי כ-80גר,ח.י. מעדני גורמה בעמ,"י""ח",,1,17.90,17.90
13,דג פילה מושט טרי כ-100גר,ח.י. מעדני גורמה בעמ,"י""ח",,1,14.90,14.90
14,חסה עגולה,ביכורי הנגב מ.ד בעמ,"י""ח",,1,6.90,6.90
15,גינגר תפזורת,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,39.90,39.90
16,דג פילה סלמון טרי,ח.י. מעדני גורמה בעמ,"ק""ג",,1,99.90,99.90
17,חלה קלועה,בר מאפים,"י""ח",,1,12.90,12.90
18,חצי בגאט,בר מאפים,"י""ח",,1,2.90,2.90
19,ערמונים]שקילה[,שושן פירות יבשים בעמ,"ק""ג",,1,14.90,14.90
20,פטריות תפזורת שקיל,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,39.90,39.90
21,אבוקדו.,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,14.90,14.90
22,אבטיח,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
23,אפרסק מובחר,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,19.90,19.90
24,אגסים,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,11.90,11.90
25,אגס חום,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,15.90,15.90
26,אפרסמון,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,12.90,12.90
27,"סוכר סוגת 4 ב -10ש""ח",סוגת תעשיות בעמ,"י""ח",,1,10.10,10.10
28,אשכולית,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
29,בננה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,9.90,9.90
30,לימון,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,9.90,9.90
31,פמלה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,8.90,8.90
32,מלון,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,4.90,4.90
33,נקטרינה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,29.90,29.90
34,פמלית,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,8.90,8.90
35,קלמנטינה,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
36,עגבניות שרי מנומר שקיל,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,19.90,19.90
37,קיווי,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,19.90,19.90
38,שסק שקיל.,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,26.90,26.90
39,שזיף אדום,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,9.90,9.90
40,גזר בתפזורת,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,3.90,3.90
41,שזיף שגיב,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,14.90,14.90
42,תפוז תבורי.,ביכורי הנגב מ.ד בעמ,"ק""ג",,1,5.90,5.90
