,ChainName,StoreId,BikoretNo,StoreType,StoreName,Address,City
0,טיב טעם,2,5,1,נתניה,א.ת דרומי,נתניה
1,טיב טעם,3,4,1,אשדוד,זבוטינסקי פינת ויצמן מתחם פאוור סנטר,אשדוד
2,טיב טעם,5,2,1,ראשון לציון,האצל 18 א.ת חדש,ראשון לציון
3,טיב טעם,6,1,1,בת ים,העבודה 14 פינת המלאכה א.ת,בת ים
4,טיב טעם,7,0,1,אשקלון,התחיה 1,אשקלון
5,טיב טעם,10,4,1,כרמיאל,הכבאי 3,כרמיאל
6,טיב טעם,12,2,1,חוצות המפרץ (קריות),חלוצי התעשיה 116 מפרץ חיפה,קריות
7,טיב טעם,13,1,1,חנות המפעל,המזח 4,א.ת עמק חפר
8,טיב טעם,14,0,1,ראשון מזרח,המכבים 62 צומת בית דגן,ראשון לציון
9,טיב טעם,15,9,1,באר שבע חדש,דרך חברון 48 מתחם ביג,באר שבע
10,טיב טעם,17,7,1,מודיעין,המלאכה 14 ישפרו סנטר,מודיעין
11,טיב טעם,18,6,1,רחובות,אופנהיימר 2 פינת הרצל - קרית המדע,רחובות
12,טיב טעם,19,5,1,רמת החייל,דבורה הנביאה 122,תל אביב
13,טיב טעם,20,1,1,חולון עזריאלי,הבנאי,חולון
14,טיב טעם,21,0,1,יהוד,אלטלף 1,יהוד
15,טיב טעם,22,9,1,קניון דרורים,קניון דרורים,לב השרון
16,טיב טעם,23,8,1,קיסריה,דולב 14,קיסריה
17,טיב טעם,30,8,1,מפגש מזרע,קיבוץ מזרע 19312,עפולה
18,טיב טעם,51,1,1,דיילי רעננה,אחוזה 269 פארק מול רעננה,רעננה
19,טיב טעם,52,0,1,דיילי הרצליה,בן גוריון 56 פינת בר כוכבא,הרצליה
20,טיב טעם,54,8,1,בן-יהודה 1,בן יהודה 1,תל אביב
21,טיב טעם,55,7,1,אואזיס רמת גן,הרצל 75,רמת גן
22,טיב טעם,56,6,1,טופ דן,פנחס רוזן 72,תל אביב
23,טיב טעם,57,5,1,"דיילי מאז""ה","מאז""ה 42",תל אביב
24,טיב טעם,58,4,1,בן-יהודה 130,בן יהודה 130 פינת בן גוריון,תל אביב
25,טיב טעם,59,3,1,בן יהודה 181,בן יהודה 181,תל אביב
26,טיב טעם,61,8,1,חשמונאים 91,חשמונאים 91,תל-אביב
27,טיב טעם,62,7,1,דיזינגוף 16,דיזינגוף 16,תל-אביב
28,טיב טעם,63,6,1,אבן גבירול 64,אבן גבירול 64,תל אביב
29,טיב טעם,65,4,1,נחלת בנימין 47,נחלת בנימין 47,תל אביב
30,טיב טעם,67,2,1,דיזנגוף 199,דיזנגוף 199,תל-אביב
31,טיב טעם,68,1,1,סירקין 13,סירקין 13,גבעתיים
32,טיב טעם,70,6,1,יפו,שדרות ירושלים 4,תל אביב
33,טיב טעם,71,5,1,פרישמן 13 תל אביב,פרישמן 13,תל אביב
34,טיב טעם,73,3,1,פנקס 2,פנקס 2,תל אביב
35,טיב טעם,74,2,1,ארלוזורוב,unknown,unknown
36,טיב טעם,75,1,1,יהודה מכבי,unknown,unknown
37,טיב טעם,79,7,1,חולון חדש,שדרות לוי אשכול,חולון
38,טיב טעם,80,3,1,יגאל אלון,unknown,unknown
39,טיב טעם,81,2,1,מעדנייה הוד השרון,סוקולוב 13,הוד השרון
40,טיב טעם,156,5,1,עדן גן העיר,אבן גבירול 71,תל אביב
41,טיב טעם,172,3,2,ליקוט עדן רמת החייל,http://edenteva.co.il/,unknown
42,טיב טעם,502,0,2,ליקוט נתניה,https://www.tivtaam.co.il/,נתניה
43,טיב טעם,503,9,2,ליקוט טיב טעם אשדוד,https://www.tivtaam.co.il/,unknown
44,טיב טעם,512,7,2,ליקוט טיב טעם קריות,https://www.tivtaam.co.il/,חיפה
45,טיב טעם,514,5,2,ליקוט ראשון מזרח,https://www.tivtaam.co.il/,ראשון לציון
46,טיב טעם,515,4,2,ליקוט טיב באר שבע,https://www.tivtaam.co.il/,באר שבע
47,טיב טעם,519,0,2,ליקוט רמת החייל,https://www.tivtaam.co.il/,רמת החייל
48,טיב טעם,523,3,2,ליקוט קיסריה,https://www.tivtaam.co.il/,קיסריה
