,ItemName,ManufactureName,UnitQty,Quantity,QtyInPackage,ItemPrice,UnitOfMeasurePrice
0,פיתה,מאפיית כפיר צ. ידעי בעמ,יח`,,1,1.50,1.50
1,רצועות בקר מעובד לטחינה,בלדי בעמ,"ק""ג",,1,34.90,34.90
2,סנדוויץ` עובד,קבוצת אסם סחר שות. מוגבלת,יח`,,1,3.50,3.50
3,אשכולית,מהדרין תנופורט יצוא ( ש.מ.),"ק""ג",,1,5.90,5.90
4,אשכולית אדומה,תעשיות תוצרת חקלאית אביטן בני,"ק""ג",,1,5.90,5.90
5,אבוקדו,צמח שיווק תוצרת חקלאית אגשח בע,"ק""ג",,1,15.90,15.90
6,אבטיח,יבולי החמישה ו.ב,"ק""ג",,1,5.90,5.90
7,ארטישוק,ג`אן ציון,"ק""ג",,1,6.90,6.90
8,בטטה,החקלאי תלמי אל-בועז חדד,"ק""ג",,1,8.90,8.90
9,בננות,גליל שוק מקומי אגשח בעמ,"ק""ג",,1,6.90,6.90
10,בצל יבש,אום אל נור לגידולים חקלאיים בע,"ק""ג",,1,3.90,3.90
11,בצל ירוק,א.אדמה (2007) בעמ,יח`,,1,6,6
12,אננס,ח.ע בסד שיווק פירות בעמ,יח`,,1,39.90,39.90
13,גזר ארוז,גזר שליט (חוות מיכאל)בעמ,"ק""ג",,1,4.90,4.90
14,דלעת,שוסטר תעשיות מזון בעמ,"ק""ג",,1,12.90,12.90
15,דלורית,שוסטר תעשיות מזון בעמ,"ק""ג",,1,9.90,9.90
16,תפוח זהוב,בראשית - אגודה שיתופית חקלאית,"ק""ג",,1,9.90,9.90
17,חסה עגולה,הירוקים של רצון בעמ,יח`,,1,5.90,5.90
18,חסה רגילה,הירוקים של רצון בעמ,יח`,,1,4.90,4.90
19,חצילים,שיווק רפול אוליאל,"ק""ג",,1,6.90,6.90
20,ירק,א.אדמה (2007) בעמ,יח`,,1,3.90,3.90
21,תפוח יונתן,בראשית - אגודה שיתופית חקלאית,"ק""ג",,1,9.90,9.90
22,כרוב לבן,תעשיות תוצרת חקלאית אביטן בני,"ק""ג",,1,3.90,3.90
23,כרובית,ד.ע. ימין גידול ושיווק ירקות ב,יח`,,1,9.90,9.90
24,לימון,יהודה כרמלה,"ק""ג",,1,9.90,9.90
25,מלפפון,ד. חי שווק תוצרת חקלאית בעמ,"ק""ג",,1,5.90,5.90
26,מלון,יבולי תנובת הדרום בעמ,"ק""ג",,1,8.90,8.90
27,עלי נענע,א.אדמה (2007) בעמ,יח`,,1,3.90,3.90
28,עלי סלרי,א.אדמה (2007) בעמ,יח`,,1,4.90,4.90
29,שורש פטרוזיליה,א.אדמה (2007) בעמ,יח`,,1,4.90,4.90
30,תפוח סמיט,בראשית - אגודה שיתופית חקלאית,"ק""ג",,1,9.90,9.90
31,תפוח סטארקינג חרמון,בראשית - אגודה שיתופית חקלאית,"ק""ג",,1,9.90,9.90
32,סלק,תעשיות תוצרת חקלאית אביטן בני,"ק""ג",,1,5.90,5.90
33,עגבניה,שיווק העשור ירקות הזהב בעמ,"ק""ג",,1,4.90,4.90
34,פטריות שמפיניון יחידה,חוות השמפיניון בעמ,יח`,,1,9.90,9.90
35,פומלה,מהדרין תנופורט יצוא ( ש.מ.),"ק""ג",,1,9.90,9.90
36,פלפל ירוק,ד. חי שווק תוצרת חקלאית בעמ,"ק""ג",,1,9.90,9.90
37,פלפל חריף,ד. חי שווק תוצרת חקלאית בעמ,"ק""ג",,1,9.90,9.90
38,צנונית,יראון - עבודות חקלאיות בעמ,יח`,,1,5.90,5.90
39,קולורבי,תעשיות תוצרת חקלאית אביטן בני,"ק""ג",,1,6.90,6.90
40,קלמנטינה,תעשיות תוצרת חקלאית אביטן בני,"ק""ג",,1,6.90,6.90
41,קישואים,ד. חי שווק תוצרת חקלאית בעמ,"ק""ג",,1,7.90,7.90
42,קיווי,בראשית - אגודה שיתופית חקלאית,"ק""ג",,1,12.90,12.90
43,פומלית,תעשיות תוצרת חקלאית אביטן בני,"ק""ג",,1,7.90,7.90
44,לפת,מלוא הסל שיווק ירקות בעמ,"ק""ג",,1,5.90,5.90
45,לוף ארוז,א.אדמה (2007) בעמ,יח`,,1,9.90,9.90
46,שום יבש,חברת יוסף אופנהימר 1986 בעמ,יח`,,1,10,10
47,שומר,תעשיות תוצרת חקלאית אביטן בני,"ק""ג",,1,7.90,7.90
48,תפוא לבן,עוגן שיווק *בימי שני תפוא ב -,"ק""ג",,1,3.90,3.90
49,תפוזים,תעשיות תוצרת חקלאית אביטן בני,"ק""ג",,1,5.90,5.90
50,תירס ארוז,בננות החוף אגשח בעמ,"ק""ג",,1,8.90,8.90
51,פלפל אדום,י.ל החקלאים שיווק והפצה בעמ,"ק""ג",,1,8.90,8.90
52,אגס,בראשית - אגודה שיתופית חקלאית,"ק""ג",,1,12.90,12.90
53,כרוב אדום,תעשיות תוצרת חקלאית אביטן בני,"ק""ג",,1,5.90,5.90
54,פלפל חריף אדום,דובדבן שיווק בעמ,"ק""ג",,1,11.90,11.90
55,פלפל בהיר,ד. חי שווק תוצרת חקלאית בעמ,"ק""ג",,1,9.90,9.90
56,פלפל צהוב,ד. חי שווק תוצרת חקלאית בעמ,"ק""ג",,1,9.90,9.90
57,אפרסמון,מור פירות השרון בעמ,"ק""ג",,1,9.90,9.90
58,מלפפון בייבי,א.אדמה (2007) בעמ,יח`,,1,8.90,8.90
59,בצל אדום,אום אל נור לגידולים חקלאיים בע,"ק""ג",,1,5.90,5.90
60,שרי ארוז,צימן עגבניות,יח`,,1,9.90,9.90
61,נקטרינה,מיטב פרי הרמה (1995) בעמ,"ק""ג",,1,15.90,15.90
62,תפוח פינק ליידי,בראשית - אגודה שיתופית חקלאית,"ק""ג",,1,14.90,14.90
63,מג`הול תמר בקופסא,דין שיווק וקליה בעמ,יח`,,1,19.90,19.90
64,שסק,אלדד קליימן שיווק בעמ,"ק""ג",,1,12.90,12.90
65,אפרסק,מיטב פרי הרמה (1995) בעמ,"ק""ג",,1,15.90,15.90
66,פלפל שושקה,ד. חי שווק תוצרת חקלאית בעמ,"ק""ג",,1,9.90,9.90
67,דובדבנים ארוז,בראשית - אגודה שיתופית חקלאית,יח`,,1,29.90,29.90
68,משמש,גליל שוק מקומי אגשח בעמ,"ק""ג",,1,29.90,29.90
69,סלק עלים מנגולד,א.אדמה (2007) בעמ,יח`,,1,4.90,4.90
70,פלפל כתום,י.ל החקלאים שיווק והפצה בעמ,"ק""ג",,1,9.90,9.90
71,שום טרי בתפזורת,בננות החוף אגשח בעמ,"ק""ג",,1,29.90,29.90
72,תפוא אדום,עוגן שיווק *בימי שני תפוא ב -,"ק""ג",,1,4.90,4.90
73,אבטיח אישי,יופי של ירקות - עין יהב אגשח ב,"ק""ג",,1,6.90,6.90
74,ברוקולי ארוז,בננות החוף אגשח בעמ,יח`,,1,9.90,9.90
75,תפוח נאשי,בראשית - אגודה שיתופית חקלאית,"ק""ג",,1,14.90,14.90
76,עירית ארוזה,א.אדמה (2007) בעמ,יח`,,1,4.90,4.90
77,קישוא זוקיני,עמית בראון שיווק עמ,"ק""ג",,1,7.90,7.90
78,אספרגוס ארוז,א.אדמה (2007) בעמ,יח`,,1,24.90,24.90
79,תפוזים ברשת,מהדרין תנופורט יצוא ( ש.מ.),"ק""ג",,1,4.90,4.90
80,תפוא תפזורת,בכורי שדה דרום 2002 בעמ,"ק""ג",,1,5.90,5.90
81,פטריות חומות תפזורת גדולות למילוי,חוות השמפיניון בעמ,"ק""ג",,1,39.90,39.90
82,תפוח ברשת,אמצע השוק בעמ,"ק""ג",,1,9,9
83,חציל בלדי,י.ל החקלאים שיווק והפצה בעמ,"ק""ג",,1,8.90,8.90
84,תפוח גלה,בראשית - אגודה שיתופית חקלאית,"ק""ג",,1,12.90,12.90
85,אגס אדום,טריפל סל בעמ,"ק""ג",,1,14.90,14.90
86,פטריות לבנות תפזורת גדולות למילוי,חוות השמפיניון בעמ,"ק""ג",,1,29.90,29.90
87,גבינה מגורדת מעדנייה,תנובה - חלב,"ק""ג",,1,41.30,4.13
88,מסיכת הגנה 3 שכבות בודד,ספקים שונים,יח`,,1,9.90,9.90
89,מסיכת הגנה לפנים 50 יח`,ספקים שונים,יח`,,1,100,100
90,מסיכות בד שלישייה,אומנות התפירה,יח`,,1,19.90,19.90
91,KN95 מארז 10  יח`מסיכת פנים,ספקים שונים,יח`,,1,69,69
92,אנטריקוט עגל טרי מוכשר סטייק,אדום אדום - תנובה בקר,"ק""ג",,1,138,138
93,פאלאס תבניות אלומיניום קטן/אינגליש,פאלאס תעשיות נטו (2014) בעמ,יח`,,1,0.90,0.90
94,כף עגל טרי חלק,אדום אדום - תנובה בקר,"ק""ג",,1,79.90,79.90
95,פאלאס תבניות אלומניום ענק,פאלאס תעשיות נטו (2014) בעמ,יח`,,1,1.90,1.90
96,אוסובוקו עגל טרי מוכשר,אדום אדום - תנובה בקר,"ק""ג",,1,49.90,49.90
97,פאלאס תבנית גדולה/רחבה/עמוקה/עגולה,פאלאס תעשיות נטו (2014) בעמ,יח`,,1,1.50,1.50
98,הולנדית+שויצרית+צ`דר משקל,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,37,3.70
99,פיתה אפויה מאפית,מגוון שיווק והפצת מאפים בעמ,יח`,,1,1.50,1.50
100,מעושנת א.ח.נוכרי,צ.י תעשיות מזון יבנה בעמ,"ק""ג",,1,38,3.80
101,בונז`ור חלה קלועה,קבוצת אסם סחר שות. מוגבלת,יח`,,1,10,10
102,חלה באגט (מאפית),קבוצת אסם סחר שות. מוגבלת,יח`,,1,10,10
103,פיתה אפויה מארז 10 יח,מגוון שיווק והפצת מאפים בעמ,יח`,,1,11.90,11.90
104,דג סלמון נורבגי טרי שלם - נקי,מאסטרפוד בעמ,"ק""ג",,1,59.90,59.90
105,נתחי  כתף/ אוסובוקו עגל חלב על עצם,נטו בשרים,"ק""ג",,1,59.90,59.90
106,שליש באגט בונז`ור,קבוצת אסם סחר שות. מוגבלת,יח`,,1,2.90,2.90
107,תורמוס מתוק במשקל,וואלי מרקט 2018 א.ד.ע. בעמ,"ק""ג",,1,13,1.30
108,גרעיני דלעת במשקל,וואלי מרקט 2018 א.ד.ע. בעמ,"ק""ג",,1,49,4.90
109,צהובה עמק 28% תנובה,תנובה - חלב,"ק""ג",,1,42.70,4.27
110,גבינת גלבוע 22% תנובה,תנובה - חלב,"ק""ג",,1,40.59,4.06
111,מוצרלה חריץ תנובה,תנובה - חלב,"ק""ג",,1,76,7.60
112,קולאג 23% פרמזן חריץ תנובה,תנובה - חלב,"ק""ג",,1,113,11.30
113,סקנדינבית 31% תנובה,תנובה - חלב,"ק""ג",,1,76,7.60
114,קשקבל (27% גלעד) תנובה,תנובה - חלב,"ק""ג",,1,121,12.10
115,רוקפור (26% גליל) חריץ תנובה,תנובה - חלב,"ק""ג",,1,122,12.20
116,בולגרית 24% פח 3  קג`תנובה,תנובה - חלב,"ק""ג",,1,56,5.60
117,נתחי עגל חלב על עצם,נטו בשרים,"ק""ג",,1,55,55
118,טל העמק 32% צהובה,תנובה - חלב,"ק""ג",,1,55,5.50
119,עמק פיקוח 28% חריץ צהובה בדצ,תנובה - חלב,"ק""ג",,1,42.70,4.27
120, דנאבלו(רוקפור),ג.וילי-פוד אינטרנשיונל בעמ,"ק""ג",,1,85,8.50
121,פטינה מעדנייה שטראוס,שטראוס גרופ בעמ/מצונן,"ק""ג",,1,30,3
122,נתחי עגל חלב ללא עצם,נטו בשרים,"ק""ג",,1,89.90,89.90
123,סטייק עם עצם כשר,אדום אדום - תנובה בקר,"ק""ג",,1,99,99
124,לחם שיפון אפוי בונז`ור,קבוצת אסם סחר שות. מוגבלת,יח`,,1,10,10
125,4ב...לחמניות מאפית,קבוצת אסם סחר שות. מוגבלת,יח`,,1,10.90,10.90
126,צ`אך עגל טרי חלק,אדום אדום - תנובה בקר,"ק""ג",,1,79.90,79.90
127,לחמניות חליות/פטי פאן/אצבע/שליש באגט/חלי,קבוצת אסם סחר שות. מוגבלת,יח`,,1,10,10
128,דג לברק טרי נקי,מאסטרפוד בעמ,"ק""ג",,1,59.90,59.90
129,בורקס פילו פיצה בונז`ור,קבוצת אסם סחר שות. מוגבלת,"ק""ג",,1,38,38
130,פסטרמה ברבקיו יחיעם,מעדני יחיעם (1993) בעמ,"ק""ג",,1,69,6.90
131,סלמי סרוולט יחיעם (150 גרם),מעדני יחיעם (1993) בעמ,יח`,,1,24.90,16.60
132,סלמי מעושן 500גרם,מעדני יחיעם (1993) בעמ,יח`,,1,29.90,5.98
133,נקניק סרוולד יחיעם,מעדני יחיעם (1993) בעמ,"ק""ג",,1,149,14.90
134,סלמי צרפתי יחיעם,מעדני יחיעם (1993) בעמ,"ק""ג",,1,149,14.90
135,פסטרמה של פעם 200,מעדני יחיעם (1993) בעמ,יח`,,1,24.90,12.45
136,נקניקיות עוף 400  גר`יחיעם,מעדני יחיעם (1993) בעמ,יח`,,1,10.90,2.73
137,סלמי צרפתי יחיעם (100 גרם),מעדני יחיעם (1993) בעמ,יח`,,1,19.90,19.90
138,כתף בקר מעושן ק`ג יחיעם,מעדני יחיעם (1993) בעמ,"ק""ג",,1,103,10.30
139,איטלקי מפולפל יחיעם,מעדני יחיעם (1993) בעמ,"ק""ג",,1,72,7.20
140,סלמי תה יחיעם מעדנייה,מעדני יחיעם (1993) בעמ,"ק""ג",,1,49,4.90
141,אמנון טרי נקי,מאסטרפוד בעמ,"ק""ג",,1,29.90,29.90
142,סרוולד טירת צבי,תנובה קפואים,"ק""ג",,1,148,14.80
143,סלמי איטלקי טירת צבי,תנובה קפואים,"ק""ג",,1,80,8
144,נקניק תה טירת צבי,תנובה קפואים,"ק""ג",,1,53,5.30
145,נקניקיות עוף טירת צבי לפי משקל (500 גרם),תנובה קפואים,"ק""ג",,1,23.90,23.90
146,כתף בקר מעושן טירת צבי,תנובה קפואים,"ק""ג",,1,98,9.80
147,כתף בקר מפולפל טירת צבי,תנובה קפואים,"ק""ג",,1,98,9.80
148,חזה הודו בדבש טירת צבי,תנובה קפואים,"ק""ג",,1,80,8
149,פסטרמה בגריל טירת צבי,תנובה קפואים,"ק""ג",,1,80,8
150,פסטרמה הודו מעושנת טירת צבי,תנובה קפואים,"ק""ג",,1,80,8
151,פסטרמה גחלים טירת צבי,תנובה קפואים,"ק""ג",,1,80,8
152,דג בורי טרי נקי,מאסטרפוד בעמ,"ק""ג",,1,39,39
153,הקוביה הבולגרית 175 גר`,הגבינות של ניצן,יח`,,1,14.90,8.51
154,כתף עגל טרי עם עצם מוכשר,אדום אדום - תנובה בקר,"ק""ג",,1,54.90,54.90
155,לבנה אבו גוש במשקל,הגבינות של ניצן,"ק""ג",,1,50,5
156,דג ברמונדי נקי שלם,מאסטרפוד בעמ,"ק""ג",,1,49.90,49.90
157,בורקס פילו במילוי גיבנה בונז`ור,קבוצת אסם סחר שות. מוגבלת,"ק""ג",,1,38,38
158,בורקס פילו תרד וגבינה בונז`ור,קבוצת אסם סחר שות. מוגבלת,"ק""ג",,1,38,38
159,מקרל פרוס בעישון חם מעדנייה,פוד קולקשן בעמ,"ק""ג",,1,123,12.30
160,גבנצ 28% נעם חריץ פיקוח מעדנייה,החב` המרכזית - טרה,"ק""ג",,1,42.70,4.27
161,גבנצ 9% נעם חריץ מעדנייה,החב` המרכזית - טרה,"ק""ג",,1,72,7.20
162,גבנצ 22% נעם חריץ פיקוח מעדנייה,החב` המרכזית - טרה,"ק""ג",,1,39,3.90
163,צלי כתף טרי מוכשר,אדום אדום - תנובה בקר,"ק""ג",,1,89.90,8.99
164,לחמניות מקמח מלא ברמן) (6,י.את א. ברמן בעמ,יח`,,1,10.90,2.02
165,לחם מחמצת אגוזים אפוי קפוא 480  גר`בו,קבוצת אסם סחר שות. מוגבלת,יח`,,1,14.90,3.10
166,לחם מחמצת זתי קלמנטה/אגוזים בונז`ור,קבוצת אסם סחר שות. מוגבלת,יח`,,1,16.90,3.52
167,נקניק תה זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,49,4.90
168,פיין סלמי צר זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,65,6.50
169,סלמי פפרוני זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,56,5.60
170,קוניאק זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,87,8.70
171,פסטרמה גולן זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,79,7.90
172,כתף בקר מעושן זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,100,10
173,פסטרממיה בדבש זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,79,7.90
174,פסטרמה חזה הודו זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,79,7.90
175,טורו-כתף בקר זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,110,11
176,תבור-חזה מעושן זוגלובק 2% שומן,זוגלובק שיווק בעמ,"ק""ג",,1,79,7.90
177,פסטרמה רומנית זוגלובק,זוגלובק שיווק בעמ,"ק""ג",,1,79,7.90
178,קאשקבל משולש מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,120,12
179,בולגרית 5% 16%  מעודנת- גד מעדניה,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,56,5.60
180,גבינת מוצרלה נקניק מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,80,8
181,גבינה צפתית רכה 5% מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,48,4.80
182,ריקוטה מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,57,5.70
183,שמנות 30% בטעמים מעדנייה גד,מחלבות גד שיווק 1992 בעמ,"ק""ג",,1,45,4.50
184,דג דניס טרי נקי,מאסטרפוד בעמ,"ק""ג",,1,59.90,59.90
185,דג קרפיון מצונן נקי,מאסטרפוד בעמ,"ק""ג",,1,32.90,32.90
186,גאודה 30% חריץ מעדניה,תנובה - חלב,"ק""ג",,1,108,10.80
187,גאודה כמון 30%,תנובה - חלב,"ק""ג",,1,108,10.80
188,גאודה עז 28%,תנובה - חלב,"ק""ג",,1,144,14.40
189,גאודה מעושנת 30% במשקל,תנובה - חלב,"ק""ג",,1,108,10.80
190,פילה סלמון נורבגי שלם -טרי,מאסטרפוד בעמ,"ק""ג",,1,99,9.90
191,רב מגבת קלאסיק,מ.א.ייצור ויבוא מטליות בעמ,יח`,,1,13.90,13.90
192,כבד עוף קפוא,קורניש חן (1987) בעמ,"ק""ג",,1,14.90,1.49
193,עוף מס -2עטרה,נטו מלינדה סחר - עטרה,"ק""ג",,1,22.90,2.29
194,לבבות עוף-עטרה,נטו מלינדה סחר - עטרה,"ק""ג",,1,31.90,3.19
195,חזה עוף-עטרה,נטו מלינדה סחר - עטרה,"ק""ג",,1,31.90,3.19
196,ירכיים עוף-עטרה,נטו מלינדה סחר - עטרה,"ק""ג",,1,31.90,3.19
197,שוקיים עוף-עטרה,נטו מלינדה סחר - עטרה,"ק""ג",,1,34.90,3.49
198,כנפיים עוף-עטרה,נטו מלינדה סחר - עטרה,"ק""ג",,1,17.90,1.79
199,שניצל הודו טרי דק ד,תנובה קפואים,"ק""ג",,1,39.90,39.90
200,פילה סלמון תנובה מנות,תנובה קפואים,"ק""ג",,1,79.90,7.99
201,שניצל ארוז קפוא מוביל חזה פרוס,קורניש חן (1987) בעמ,"ק""ג",,1,34.90,3.49
202,פילה נסיכת הנילוס 100%  דג- תנובה,תנובה קפואים,"ק""ג",,1,39.90,39.90
203,נתחי פילה נסיכת הנילוס 100%  דג- תנובה,תנובה קפואים,"ק""ג",,1,44.90,44.90
